id,id_sessao,proposicao_id,data,resumo,obj_votacao
2043,312,38099,1999-02-24 17:53:00,,REQUERIMENTO DE URGÊNCIA
1364,312,38135,1999-02-24 18:30:00,,REQUERIMENTO DE URGÊNCIA
152,312,13303,1999-02-24 18:44:00,,REQUERIMENTO DE URGÊNCIA
87,318,25011,1999-03-09 00:30:00,,PROJETO ( C P M F )
2349,317,38107,1999-03-09 19:02:00,,REQUERIMENTO PRORROGAÇÃO DA SESSÃO
84,318,25011,1999-03-09 20:19:00,,REQUERIMENTO ADIAMENTO DISCUSSÃO
85,318,25011,1999-03-09 21:51:00,,REQUERIMENTO DE ADIAMENTO DE VOTAÇÃO
86,318,25011,1999-03-09 22:44:00,,"EMENDAS, EM GLOBO, COM PARECER PELA REJEIÇÃO"
88,319,25011,1999-03-10 17:39:00,,REQ. DE PREFERÊNCIA. DA VOTAÇÃO DOS DESTAQUES DE BANCADAS 10 E 13
89,319,25011,1999-03-10 18:38:00,,"DVS  Nº 10 -  EXPRESSÃO ""RESTABELECÊ-LA"""
90,319,25011,1999-03-10 19:23:00,,"DVS EXPRESSÃO "" HIPÓTESE ... FEDERAL"
91,319,25011,1999-03-10 20:02:00,,DVS Nº 06
92,319,25011,1999-03-10 20:31:00,,DVS Nº 11
93,320,25011,1999-03-10 21:23:00,,EMENDA AGLUTINATIVA Nº 05
94,320,25011,1999-03-10 21:58:00,,EMENDA AGLUTINATIVA Nº 06
95,320,25011,1999-03-10 22:32:00,,EMENDA AGLUTINATIVA Nº 17
96,320,25011,1999-03-10 23:00:00,,DVS  Nº 14  -  EMENDA Nº 6
97,320,25011,1999-03-10 23:25:00,,DVS.  Nº 19  -  EMENDA Nº 8
1278,322,25770,1999-03-16 18:52:00,,RELAXAMENTO PRISÃO PARLAMENTAR
98,324,25011,1999-03-18 16:29:00,,CPMF - REDAÇÃO 2º TURNO
99,324,25011,1999-03-18 17:28:00,,"DVS Nº 6 - EXPRESSÃO ""TRINTA E OITO....."""
100,324,25011,1999-03-18 18:15:00,,"DVS Nº 4 EXPRESSÃO "" INSTITUÍDA PELA......."""
101,324,25011,1999-03-18 18:44:00,,DVS Nº 5 -PARÁGRAFO 3º DO ARTIGO 75 (ARTIGO 1º)
193,326,24109,1999-03-24 17:20:00,,REQUERIMENTO RETIRADA DE PAUTA
551,326,164816,1999-03-24 18:42:00,,REQUERIMENTO DE URGÊNCIA
783,336,41086,1999-04-15 12:32:00,,REQUERIMENTO DE URGÊNCIA - QUESTÃO DE ORDEM DO DEPUTADO ALDO REBELO
1457,339,25468,1999-04-28 17:05:00,,REQUERIMENTO DE PREFERENCIA
1561,345,14919,1999-05-12 19:23:00,,REQUERIMENTO DE RETIRADA DE PAUTA
1675,347,40855,1999-05-18 17:35:00,,DVS Nº 11 - EMENDA Nº 11
1676,347,40855,1999-05-18 18:22:00,,DVS  Nº 15 - EMENDA Nº 12
1677,347,40855,1999-05-18 19:07:00,,"DVS 19 - EXPRESSÃO ""E CONTROLAR""  INCISO I  ART.18  DO SUBST."
1674,347,25803,1999-05-18 20:51:00,,"NOS TERMOS DO ART. 218, § 3º, DO REGIMENTO INTERNO"
406,347,38162,1999-05-18 21:15:00,,REQUERIMENTO DE URGÊNCIA
2227,348,14784,1999-05-19 17:12:00,,QUESTÃO ORDEM DO DEP. MARCELO DEDA - EFEITO SUSPENSIVO
2228,348,14784,1999-05-19 19:26:00,,MEDIDAS PROVISÓRIAS - EMENDA AGLUTINATIVA  SUBSTITUTIVA
1587,351,25000,1999-05-26 17:00:00,,PREFERÊNCIA PELA APENSADA ( 626/98)
1996,351,25008,1999-05-26 17:26:00,,EMENDA Nº 1 OFERECIDA NA COMISSÃO
1997,351,25008,1999-05-26 18:09:00,,PROPOSTA  ORIGINAL
1998,351,25008,1999-05-26 18:41:00,,DVS. ARTIGO Nº 52  ( ARTIGO 1º DA PEC )
1999,351,25008,1999-05-26 19:34:00,,DVS.  ARTIGO Nº 49 PEC Nº 498/97 PARA ADITAR PEC Nº 626/98
2229,352,14784,1999-05-26 20:00:00,,2º TURNO
2000,356,25008,1999-06-08 17:34:00,,2º  TURNO
2001,357,25008,1999-06-09 17:17:00,,"DVS EXPRESSÃO "" E OS COMANDANTES DA MARINHA, DO EXÉRCITO...."
1267,357,21063,1999-06-09 18:09:00,,REQUERIMENTO DE URGÊNCIA
2211,357,38136,1999-06-09 18:33:00,,REQUERIMENTO DE URGÊNCIA
40,359,25134,1999-06-15 17:23:00,,REQUERIMENTO DE URGÊNCIA
2212,359,38136,1999-06-15 18:54:00,,"EMENDA DE PLENÁRIO Nº 4,  COM PARECER CONTRÁRIO DO RELATOR"
1279,360,38138,1999-06-16 16:55:00,,REQUERIMENTO DE URGÊNCIA
2352,360,38139,1999-06-16 17:37:00,,REQUERIMENTO DE URGÊNCIA
1487,362,180174,1999-06-22 18:10:00,,SUBEMENDA N º 1 CCJR
1459,363,168217,1999-06-23 17:16:00,,REQUERIMENTO DE URGÊNCIA
1460,363,168217,1999-06-23 18:11:00,,INDICAÇÃO GUILHERME PALMEIRA - TCU
1883,371,21616,1999-08-17 17:26:00,,DVS EMENDA N 40
1884,371,21616,1999-08-17 18:12:00,,DVS  EMENDA Nº 79
1885,371,21616,1999-08-17 18:49:00,,DVS EXPRESSOES EMENDA N. 78
1886,371,21616,1999-08-17 19:17:00,,DVS  EMENDA N.38
1077,372,40635,1999-08-18 14:07:00,,(CRÈDITO RURAL) - REQUERIMENTO DE URGÊNCIA
1138,375,38156,1999-08-24 18:33:00,,REQUERIMENTO - RETIRADA DE PAUTA
1139,376,38156,1999-08-25 17:29:00,,REQUERIMENTO DE RETIRADA DE PAUTA
1140,380,38156,1999-09-14 17:49:00,,SUBEMENDA SUBSTITUTIIVA  ÀS EMENDAS DE PLENÁRIO
1141,380,38156,1999-09-14 18:33:00,,PROJETO
1142,380,38156,1999-09-14 18:55:00,,DVS. PARAGRÁFO  1º DO ART. Nº 14
1078,381,40635,1999-09-15 20:09:00,,RECURSO Nº 34 DA CCJR (CRÉDITO RURAL)
2032,391,38167,1999-10-06 17:46:00,,REQUERIMENTO DE RETIRADA DE PAUTA
2033,391,38167,1999-10-06 21:21:00,,SUBSTITUTIVO DA COMISSÃO DE SEGURIDADE  SOCIAL E FAMÍLIA
199,392,38127,1999-10-07 12:28:00,,REQUERIMENTO DE RETIRADA DE PAUTA
2080,395,38158,1999-10-19 19:19:00,,RECURSO À EMENDA Nº 3
2398,396,25396,1999-10-20 19:52:00,,DVS SUPRESSÃO DO ART. 6º DO SUBSTITUTIVO
1791,397,38137,1999-10-21 13:51:00,,SUBSTITUTIVO DA COMISSÃO DO TRABALHO
870,398,238067,1999-10-26 17:34:00,,REQUERIMENTO DE PRORROGAÇÃO - CPI - ALIMENTOS
2085,400,24979,1999-10-27 17:53:00,,SUBSTITUTIVO DA COMISSÃO ESPECIAL
2086,400,24979,1999-10-27 19:30:00,,E APENSADOS -  EMENDA  AGLUTINATIVA  SUBSTITUTIVA
2087,400,24979,1999-10-27 20:03:00,,DVS  ARTIGO 3º DA EMENDA AGLUTINATIVA
1177,400,13610,1999-10-27 20:40:00,,REQUERIMENTO DE URGÊNCIA
1069,401,25009,1999-10-27 20:53:00,,SUBSTITUTIVO
1914,405,38170,1999-11-09 17:37:00,,PROJETO
407,405,38162,1999-11-09 19:06:00,,REQUERIMENTO PRORROGAÇÃO DA SESSÃO
408,406,38162,1999-11-10 18:14:00,,SUBSTITUTIVO DA CTASP
2409,406,24970,1999-11-10 19:27:00,,SEGUNDO TURNO
1710,409,38161,1999-11-16 18:19:00,,PROJETO
1008,409,21344,1999-11-16 18:46:00,,REQUERIMENTO DE URGÊNCIA
1980,409,15824,1999-11-16 19:49:00,,REQUERIMENTO DE URGÊNCIA
2365,410,24964,1999-11-17 18:59:00,,EMENDAS EM BLOCO COM PARECER CONTRÁRIO
2366,410,24964,1999-11-17 19:42:00,,PROJETO
1670,411,38149,1999-11-23 17:39:00,,REQUERIMENTO DE RETIRADA DE PAUTA
1671,411,38149,1999-11-23 19:23:00,,SUBSTITUTIVO DA CTASP
1070,411,25009,1999-11-23 19:39:00,,SEGUNDO TURNO
1210,412,24993,1999-11-24 18:41:00,,SUBSTITUTIVO
1211,412,24993,1999-11-24 19:25:00,,EMENDA  AGLUTINATIVA
1212,412,24993,1999-11-24 20:07:00,,DVS § 4º DO ARTIGO 100 (ARTGO 1º)
1213,412,24993,1999-11-24 20:34:00,,"DVS ARTIGO 2º, CAPUT"
2093,413,21322,1999-11-24 21:03:00,,REQUERIMENTO DE URGÊNCIA
2094,413,21322,1999-11-24 21:43:00,,SUBSTITUTIVO DA COMISSÃO ESPECIAL
910,415,21320,1999-11-30 17:47:00,,REQUERIMENTO DE URGÊNCIA
2095,416,21322,1999-12-01 16:49:00,,SUBEMENDAS EM GLOBO.
2096,416,21322,1999-12-01 17:31:00,,EMENDA COM PARECER PELA REJEIÇÃO
2097,416,21322,1999-12-01 17:49:00,,DVS ARTIGO 17
2098,416,21322,1999-12-01 18:18:00,,DVS  -  § 2º DO ARTIGO 31 - SUBSTITUTIVO
2099,416,21322,1999-12-01 18:42:00,,DVS  -  § 2º DO ARTIGO 33 - SUBSTITUTIVO
2367,416,24964,1999-12-01 20:16:00,,SEGUNDO TURNO
1214,420,24993,1999-12-07 20:26:00,,SEGUNDO TURNO
2364,420,38101,1999-12-07 21:13:00,,SUBSTITUTIVO DO SENADO FEDERAL
1488,421,24971,1999-12-08 17:02:00,,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO
1489,421,24971,1999-12-08 18:34:00,,SUBSTITUTIVO
2008,423,233725,1999-12-09 16:16:00,,PROJETO
541,424,18886,1999-12-14 17:13:00,,REQUERIMENTO DE URGÊNCIA
542,424,18886,1999-12-14 20:57:00,,"DVS ALÍNEA J, ARTIGO 4º"
911,425,21320,1999-12-15 12:11:00,,SUBSTITUTIVO
912,425,21320,1999-12-15 12:41:00,,EMENDAS DE PLENÁRIO NºS 27 E 34
913,425,21320,1999-12-15 13:04:00,,EMENDAS COM PARECER PELA REJEIÇÃO
914,425,21320,1999-12-15 13:17:00,,SUBEMENDAS DE NºS 1 a 4
915,425,21320,1999-12-15 13:27:00,,"DVS EXPRESSÃO ARTIGO 11, CAPUT"
2157,426,25747,2000-01-11 17:30:00,,PROJETO
1868,426,25007,2000-01-11 19:10:00,,1º  TURNO
1490,427,24971,2000-01-12 18:53:00,,SUBSTITUTIVO
